Symbol,Series,Security Name,Band,Remarks
ASSAMCO,EQ,Assam Company India Limited,10,-
AUSOMENT,EQ,Ausom Enterprise Limited,10,-
AVANTIFEED,EQ,Avanti Feeds Limited,10,-
BARTRONICS,EQ,Bartronics India Limited,10,-
BEDMUTHA,EQ,Bedmutha Industries Limited,10,-
BHANDARI,EQ,Bhandari Hosiery Exports Limited,10,-
BHARATWIRE,EQ,Bharat Wire Ropes Limited,10,-
BILPOWER,EQ,Bilpower  Limited,10,-
BSLIMITED,EQ,BS Limited,10,-
CEREBRAINT,EQ,Cerebra Integrated Technologies Limited,10,-
CREATIVE,SM,Creative Peripherals and Distribution Limited,10,-
DHUNINV,EQ,Dhunseri Investments Limited,10,-
DIAPOWER,EQ,Diamond Power Infra Ltd,10,-
EASTSILK,EQ,Eastern Silk Industries Limited,10,-
ELECTHERM,EQ,Electrotherm (India) Limited,10,-
ENERGYDEV,EQ,Energy Development Company Limited,10,-
ESL,EQ,Electrosteel Steels Limited,10,-
ESTER,EQ,Ester Industries Limited,10,-
FMNL,EQ,Future Market Networks Limited,10,-
GAL,EQ,Gyscoal Alloys Limited,10,-
GALLISPAT,EQ,Gallantt Ispat Limited,10,-
GLOBAL,SM,Global Education Limited,10,-
GROBTEA,EQ,The Grob Tea Company Limited,10,-
GTNIND,EQ,GTN Industries Limited,10,-
HBSTOCK,EQ,Hb Stockholdings Limited,10,-
HECPROJECT,SM,HEC Infra Projects Limited,10,-
HISARMETAL,EQ,Hisar Metal Industries Limited,10,-
HOVS,EQ,HOV Services Limited,10,-
HUBTOWN,EQ,Hubtown Limited,10,-
INDOSOLAR,EQ,Indosolar Limited,10,-
INDOTHAI,EQ,Indo Thai Securities Limited,10,-
INTENTECH,EQ,Intense Technologies Limited,10,-
IOLCP,EQ,IOL Chemicals and Pharmaceuticals Limited,10,-
ITDC,EQ,India Tourism Development Corporation Limited,10,-
JAYBARMARU,EQ,Jay Bharat Maruti Limited,10,-
JINDWORLD,EQ,Jindal Worldwide Limited,10,-
KANANIIND,EQ,Kanani Industries Limited,10,-
KARMAENG,EQ,Karma Energy Limited,10,-
KAUSHALYA,EQ,Kaushalya Infrastructure Development Corporation Limited,10,-
KAVVERITEL,EQ,Kavveri Telecom Products Limited,10,-
KESARENT,EQ,Kesar Enterprises Limited,10,-
KIRLOSIND,EQ,Kirloskar Industries Limited,10,-
MAANALU,EQ,Maan Aluminium Limited,10,-
MAHASTEEL,EQ,Mahamaya Steel Industries Limited,10,-
MANAKCOAT,EQ,Manaksia Coated Metals & Industries Limited,10,-
MASTEK,EQ,Mastek Limited,10,-
MSPL,EQ,MSP Steel & Power Limited,10,-
NECCLTD,EQ,North Eastern Carrying Corporation Limited,10,-
NKIND,EQ,NK Industries Limited,10,-
NTL,EQ,Neueon Towers Limited,10,-
OILCOUNTUB,EQ,Oil Country Tubular Limited,10,-
ORIENTLTD,EQ,Orient Press Limited,10,-
PATSPINLTD,EQ,Patspin India Limited,10,-
PBAINFRA,EQ,PBA Infrastructure Limited,10,-
PROVOGE,EQ,Provogue (India) Limited,10,-
REIAGROLTD,EQ,Rei Agro Limited,10,-
REMSONSIND,EQ,Remsons Industries Limited,10,-
ROSSELLIND,EQ,Rossell India Limited,10,-
SERVALL,EQ,Servalakshmi Paper Limited,10,-
SHAKTIPUMP,EQ,Shakti Pumps (India) Limited,10,-
SIMBHALS,EQ,Simbhaoli Sugars Limited,10,-
SKIL,EQ,SKIL Infrastructure Limited,10,-
SPENTEX,EQ,Spentex Industries Limited,10,-
STCINDIA,EQ,The State Trading Corporation of India Limited,10,-
STEL,EQ,Stel Holdings Limited,10,-
STERLINBIO,EQ,Sterling Biotech Limited,10,-
THEJO,SM,Thejo Engineering Limited,10,-
TIPSINDLTD,EQ,TIPS Industries Limited,10,-
TREEHOUSE,EQ,Tree House Education & Accessories Limited,10,-
TULSI,EQ,Tulsi Extrusions Limited,10,-
VALUEIND,EQ,Value Industries Limited,10,-
VASWANI,EQ,Vaswani Industries Limited,10,-
VHL,EQ,Vardhman Holdings Limited,10,-
VIDEOIND,EQ,Videocon Industries Limited,10,-
WSI,EQ,W S Industries (I) Limited,10,-
20MICRONS,EQ,20 Microns Limited,20,-
3IINFOTECH,EQ,3i Infotech Limited,20,-
3MINDIA,EQ,3M India Limited,20,-
3RDROCK,IT,3rd Rock Multimedia Limited,20,-
63MOONS,EQ,63 moons technologies limited,20,Nifty IT
8KMILES,EQ,8K Miles Software Services Limited,20,-
A2ZINFRA,EQ,A2Z Infra Engineering Limited,20,-
AARTIDRUGS,EQ,Aarti Drugs Limited,20,-
