25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
503031	Peninsula Land Limited	2792.01220
503092	Pasupati Spg. & Wvg. Mills Ltd	93.37068
503100	The Phoenix Mills Ltd.	1530.66907
503101	Marathon Nextgen Realty Ltd	284.37345
503127	Raja Bahadur International Ltd	2.50000
503162	Reliance Chemotex Industries L	38.11850
503169	Ruby Mills Ltd.	167.20000
503205	Shree Ram Urban Infrastructure	411.34540
503229	Simplex Realty Limited	29.91382
503243	Samrat Spinners Ltd.	125.00000
503297	Super Syncotex (India) Ltd.	115.46378
503310	Swan Energy Ltd.	2442.57000
503349	Victoria Mills Ltd.	0.98916
503622	S.V. Trading & Agencies Ltd.	171.00000
503624	Svaraj Trading & Agencies Ltd.	147.50000
503626	Kshitij Investments Ltd	6.29400
503628	Dolphin Investments Ltd.	2.00000
503630	Shell Infotech Ltd.	3.46900
503635	Shree Salasar Investment Ltd.	2.00000
503637	Dhanleela Investments & Tradin	473.25000
503639	Indsoya Limited	2.00000
503641	Zodiac Ventures Limited	372.90000
503655	Aeonian Investments Co. Ltd.	48.00000
503657	Veer Energy & Infrastructure L	78.63250
503659	SW Investments Limited	9.00000
503663	Tilak Ventures Limited	1284.80000
503669	K K Fincorp Limited	56.00000
503671	Unijolly Investments Co. Ltd.	2.00000
503673	CMM Broadcasting Network Ltd.	70.00000
503675	Wagend Infra Venture Limited	471.25000
503681	Elcid Investments Ltd.	2.00000
503685	Mediaone Global Entertainment 	147.20000
503689	Healthy Investments Ltd.	2.45000
503691	Sahara One Media And Entertain	215.25000
503693	Solitaire Investments Co. Ltd.	2.40000
503696	Shreenath Investments Co. Ltd.	2.50000
503699	Geodesic  Ltd.	903.27847
503722	Banswara Syntex Ltd.	171.16042
503723	Ambika Silk Mills Co. Ltd.	3.50000
503738	GSL (India)  Ltd.	97.20000
503772	Modella Woollens Ltd.	9.10000
503776	Modipon Ltd.	78.38057
503780	NRC Limited	372.37413
503796	Digjam Ltd	876.41621
503804	Shri Dinesh Mills Ltd.	50.84382
503806	SRF Ltd.	574.20500
503811	Siyaram Silk Mills Ltd.	93.74016
503816	Swadeshi Polytex Ltd.	39.00000
503823	Birla Transasia Carpets Ltd.	28.35029
503831	Fomento Resorts & Hotels Ltd.	160.00000
503837	Shree Rajasthan Syntex Ltd.	130.52301
503863	Shree Manufacturing Co. Ltd.	55.00227
503873	Priyadarshini Spinning Mills L	110.80000
503876	Tirupati Fibres & Industries L	44.20000
503881	Hind Syntex Ltd.	127.18600
503893	Satyam Silk Mills Ltd.	7.35000
503897	Arihant Industries  Ltd.	242.70000
503899	Oxemberg Apparels Ltd.	5.00000
503940	Asian Electronics Ltd.	396.33316
503956	Baroda Electric Meters Ltd.	7.60000
503960	Bharat Bijlee Ltd.	56.51560
503978	Digital Electronics Ltd.	2.37600
503982	Eddy Current Controls (I) Ltd.	1.70000
504000	Elpro International Ltd.	691.75155
504008	EMCO Ltd.	677.75883
504028	GEE Ltd.	236.25878
504036	Hind Rectifiers Ltd.	150.57930
504058	Indo National Limited	37.50000
504067	Zensar Technologies Ltd.	448.84762
504072	JEM Industries Ltd.	2.20000
504076	Jyoti Ltd.	171.28992
504080	JSL Industries Ltd.	11.16368
504084	Kaycee Industries Ltd.	0.63470
504092	Indokem Ltd	244.97188
504093	Panasonic Energy India Co. Ltd	75.00000
504112	Nelco Ltd	228.18400
504132	Permanent Magnets Ltd.	85.98453
504176	High Energy Batteries (India) 	17.92768
504180	Standard Batteries Ltd.	51.71125
504212	Universal Cables Ltd.	319.89828
504220	W.S. Industries (India) Ltd.	211.39789
504227	Willard India Ltd.	213.80000
504240	Delton Cables Ltd.	86.40000
504256	Deltron Ltd	25.50000
504258	Lakshmi Electrical Control Sys	24.58000
504269	Khaitan Electricals Ltd	102.00000
504273	Tumus Electric Corporation Ltd	12.85275
504286	Delta Magnets Limited	64.71014
504288	Polar Industries Ltd	111.30413
504335	Rutron International ltd.	1761.00000
504336	Indtradeco Ltd.	2619.43333
504340	Confidence Finance And Trading	1025.00000
504341	Ravindra Trading & Agencies Lt	1174.55150
504345	Sam Leaseco Ltd.	1020.00000
504346	G.D. Trading & Agencies Ltd.	1.00000
504351	Empower India Limited	11637.98560
504356	Multipurpose Trading & Agencie	49.50000
504358	Turbotech Engineering Ltd.	240.00000
504360	Remi Sales & Engineering Ltd.	5.70200
504362	Siyaram Poddar Finance & Tradi	2.50000
504365	Ridhi Synthetics Ltd.	4.90000
504367	Champion Finsec Limited	130.13200
504369	Grandma Trading & Agencies Ltd	1306.00000
504370	Ardi Investment & Trading Ltd.	4.00000
504375	Softbpo Global Services Ltd.	1.50000
504378	Nyssa Corporation Limited	300.00000
504380	Vinaditya Trading Co. Ltd.	72.00000
504382	Simplex Trading & Agencies Ltd	500.00000
504389	Balgopal Holding & Traders Ltd	2.50000
504390	AVTIL Enterprise Limited	4.00000
504392	Krishna Ventures Limited	108.00000
504397	Ganesh Holding Ltd.	2.40000
504398	SJ Corporation Limited	83.55000
504605	Uni-Abex Alloy Products Ltd.	19.75000
