ScripCode,Scrip ID,Scrip Group,ScripName,Close Price,Daily Upper Value,Daily Lower Value,Weekly Upper Value,Weekly Lower Value,Monthly Upper Value,Monthly Lower Value,Quarterly Upper Value,Quarterly Lower Value,Yearly Upper Value,Yearly Lower Value,Final Upper Value,Final Lower Value,Filler1,Filler2,Filler3,Filler4,Filler5
507864,PIONRINV,XT,PIONEER INVESTCORP LTD.,6800,7140,6460,0,0,0,0,13595,2805,10225,5,7140,6460,,,,,
507872,ASHNOOR,XT,ASHNOOR TEXTILE MILLS LTD.,1655,1735,1575,0,0,0,0,3365,695,4095,5,1735,1575,,,,,
507886,DHRUVES,XT,DHRUV ESTATES LTD.,3280,3440,3120,0,0,0,0,5720,1180,5660,5,3440,3120,,,,,
507892,WINSOMEDJ,XD,WINSOME DIAMONDS AND JEWELLERY,34,35,33,0,0,0,0,75,16,206,1,35,33,,,,,
507894,SCHABLON,XT,SCHABLONA INDIA LTD.,2900,3045,2755,0,0,0,0,4345,900,4355,5,3045,2755,,,,,
507910,FIBERWEB,XC,FIBERWEB (INDIA) LTD.,32815,39375,26255,0,0,0,0,117630,5,60030,5,39375,26255,,,,,
507912,LKPFIN,XD,LKP FINANCE LIMITED,11880,14255,9505,0,0,0,0,23695,5,32830,5,14255,9505,,,,,
507917,EASTBUILD,P,EAST BUILDTECH LTD.,666,699,633,0,0,0,0,1358,280,1708,1,699,633,,,,,
507938,MNPLFIN,P,MANIPAL FINANCE CORPORATION LT,588,617,559,0,0,0,0,1198,248,1507,1,617,559,,,,,
507944,BAJAJST,XD,BAJAJ STEEL INDUSTRIES LTD.,15100,18120,12080,0,0,0,0,47090,5,72840,5,18120,12080,,,,,
507946,KIDUJA,XT,KIDUJA INDIA LTD.,2395,2510,2280,0,0,0,0,2660,550,3170,5,2510,2280,,,,,
507948,KEYCORP,XT,KEY CORP LTD.,1720,1806,1634,0,0,0,0,2207,456,3020,1,1806,1634,,,,,
507952,SHIKHARLETR,P,SHIKHAR LEASING & TRADING LTD.,315,330,300,0,0,0,0,611,126,768,1,330,300,,,,,
507960,GUJHOTE,XD,GUJARAT HOTELS LTD.,13920,16700,11140,0,0,0,0,42750,5,67180,5,16700,11140,,,,,
